,Address,Day,Details,Amount,Balance
3116,Elite Jewels Revenue,115,Revenue,16000.0,85965.91
3117,48 1st Street Rent,116,Rent,-12.32229,85953.59
3118,42 3rd Street Rent,116,Rent,-38.02306,85915.56
3119,59 3rd Street Rent,116,Rent,-75.99196,85839.57
3120,1 5th Street Rent,116,Rent,-52.13275,85787.44
3121,7 3rd Avenue Rent,116,Rent,-42.2027,85745.23
3122,Katara Jewels Revenue,115,Revenue,600.0,86345.23
3123,Marketing campaigns for Elite Jewels,116,Marketing,-500.0,85845.23
3124,Marketing campaigns for Katalytica,116,Marketing,-750.0,85095.23
3125,Evie Jones (Katalytica Daily Wage),116,Wage,-448.0,84647.23
3126,Zoe Gomez (Elite Jewels Daily Wage),116,Wage,-32.0,84615.23
3127,Tommy Brooks (Katalytica Daily Wage),116,Wage,-44.0,84571.23
3128,Christian Hall (KaraKata Holdings Daily Wage),116,Wage,-184.0,84387.23
3129,Merit Johnson (KaraKata Holdings Daily Wage),116,Wage,-224.0,84163.23
3130,Katherine Moss (Elite Jewels Daily Wage),116,Wage,-200.0,83963.23
3131,Lara Norris (Warehouse #1 Daily Wage),116,Wage,-153.9,83809.34
3132,Grover Brown (KaraKata Holdings Daily Wage),116,Wage,-200.0,83609.34
3133,Maria Willis (Katara Jewels Daily Wage),116,Wage,-200.0,83409.34
3134,Lindsey Richardson (Katara Jewels Daily Wage),116,Wage,-200.0,83209.34
3135,Olivia Cox (Katalytica Daily Wage),116,Wage,-432.0,82777.34
3136,Tristan Barker (Katalytica Daily Wage),116,Wage,-536.0,82241.34
3137,1 4th Street Rent,117,Rent,-64.31962,82177.02
3138,Elite Jewels Revenue,116,Revenue,16000.0,98177.02
3139,48 1st Street Rent,117,Rent,-12.32229,98164.7
3140,42 3rd Street Rent,117,Rent,-38.02306,98126.67
3141,59 3rd Street Rent,117,Rent,-75.99196,98050.68
3142,1 5th Street Rent,117,Rent,-52.13275,97998.55
3143,Katalytica Revenue,116,Revenue,480.0,98478.55
3144,7 3rd Avenue Rent,117,Rent,-42.2027,98436.34
3145,Katara Jewels Revenue,116,Revenue,600.0,99036.34
3146,Marketing campaigns for Elite Jewels,117,Marketing,-500.0,98536.34
3147,Marketing campaigns for Katalytica,117,Marketing,-750.0,97786.34
3148,Evie Jones (Katalytica Daily Wage),117,Wage,-448.0,97338.34
3149,Lily Barton (Katalytica Daily Wage),117,Wage,-344.0,96994.34
3150,Zoe Gomez (Elite Jewels Daily Wage),117,Wage,-256.0,96738.34
3151,Tommy Brooks (Katalytica Daily Wage),117,Wage,-44.0,96694.34
3152,Christian Hall (KaraKata Holdings Daily Wage),117,Wage,-184.0,96510.34
3153,Merit Johnson (KaraKata Holdings Daily Wage),117,Wage,-224.0,96286.34
3154,Katherine Moss (Elite Jewels Daily Wage),117,Wage,-25.0,96261.34
3155,Lara Norris (Warehouse #1 Daily Wage),117,Wage,-153.9,96107.45
3156,Grover Brown (KaraKata Holdings Daily Wage),117,Wage,-200.0,95907.45
3157,Maria Willis (Katara Jewels Daily Wage),117,Wage,-200.0,95707.45
3158,Lindsey Richardson (Katara Jewels Daily Wage),117,Wage,-200.0,95507.45
3159,Westbrook Walker (Katalytica Daily Wage),117,Wage,-528.0,94979.45
3160,1 4th Street Rent,118,Rent,-64.31962,94915.13
3161,Elite Jewels Revenue,117,Revenue,16000.0,110915.1
3162,48 1st Street Rent,118,Rent,-12.32229,110902.8
3163,42 3rd Street Rent,118,Rent,-38.02306,110864.8
3164,59 3rd Street Rent,118,Rent,-75.99196,110788.8
3165,1 5th Street Rent,118,Rent,-52.13275,110736.7
3166,Katalytica Revenue,117,Revenue,720.0,111456.7
3167,7 3rd Avenue Rent,118,Rent,-42.2027,111414.5
3168,Katara Jewels Revenue,117,Revenue,1200.0,112614.5
3169,Marketing campaigns for Elite Jewels,118,Marketing,-500.0,112114.5
3170,Marketing campaigns for Katalytica,118,Marketing,-750.0,111364.5
3171,Evie Jones (Katalytica Daily Wage),118,Wage,-448.0,110916.5
3172,Zoe Gomez (Elite Jewels Daily Wage),118,Wage,-32.0,110884.5
3173,Tommy Brooks (Katalytica Daily Wage),118,Wage,-44.0,110840.5
3174,Katherine Moss (Elite Jewels Daily Wage),118,Wage,-200.0,110640.5
3175,Lara Norris (Warehouse #1 Daily Wage),118,Wage,-153.9,110486.6
3176,Maria Willis (Katara Jewels Daily Wage),118,Wage,-200.0,110286.6
3177,Lindsey Richardson (Katara Jewels Daily Wage),118,Wage,-200.0,110086.6
3178,Olivia Cox (Katalytica Daily Wage),118,Wage,-432.0,109654.6
3179,1 4th Street Rent,119,Rent,-64.31962,109590.2
3180,Elite Jewels Revenue,118,Revenue,16000.0,125590.2
3181,48 1st Street Rent,119,Rent,-12.32229,125577.9
3182,42 3rd Street Rent,119,Rent,-38.02306,125539.9
3183,59 3rd Street Rent,119,Rent,-75.99196,125463.9
3184,1 5th Street Rent,119,Rent,-52.13275,125411.8
3185,Katalytica Revenue,118,Revenue,1440.0,126851.8
3186,7 3rd Avenue Rent,119,Rent,-42.2027,126809.6
3187,Katara Jewels Revenue,118,Revenue,1200.0,128009.6
3188,Marketing campaigns for Elite Jewels,119,Marketing,-500.0,127509.6
3189,Marketing campaigns for Katalytica,119,Marketing,-750.0,126759.6
3190,Marketing campaigns for Katara Jewels,119,Marketing,-100.0,126659.6
3191,Lily Barton (Katalytica Daily Wage),119,Wage,-258.0,126401.6
3192,Zoe Gomez (Elite Jewels Daily Wage),119,Wage,-96.0,126305.6
3193,Tommy Brooks (Katalytica Daily Wage),119,Wage,-44.0,126261.6
3194,Katherine Moss (Elite Jewels Daily Wage),119,Wage,-75.0,126186.6
3195,Lara Norris (Warehouse #1 Daily Wage),119,Wage,-153.9,126032.7
3196,Olivia Cox (Katalytica Daily Wage),119,Wage,-432.0,125600.7
3197,Tristan Barker (Katalytica Daily Wage),119,Wage,-536.0,125064.7
3198,1 4th Street Rent,120,Rent,-64.31962,125000.3
3199,Elite Jewels Revenue,119,Revenue,12000.0,137000.3
3200,48 1st Street Rent,120,Rent,-12.32229,136988.0
3201,42 3rd Street Rent,120,Rent,-38.02306,136950.0
3202,59 3rd Street Rent,120,Rent,-75.99196,136874.0
3203,1 5th Street Rent,120,Rent,-52.13275,136821.9
3204,Katalytica Revenue,119,Revenue,1500.0,138321.9
3205,7 3rd Avenue Rent,120,Rent,-42.2027,138279.7
3206,Marketing campaigns for Elite Jewels,120,Marketing,-500.0,137779.7
3207,Marketing campaigns for Katalytica,120,Marketing,-750.0,137029.7
3208,Marketing campaigns for Katara Jewels,120,Marketing,-100.0,136929.7
3209,Bank negative interest rate,120,BankNegativeInterestRate,-15062.26,121867.4
3210,Subway Ride,120,SubwayRide,-3.0,121864.4
3211,Subway Ride,120,SubwayRide,-3.0,121861.4
3212,Evie Jones (Katalytica Daily Wage),120,Wage,-448.0,121413.4
3213,Lily Barton (Katalytica Daily Wage),120,Wage,-344.0,121069.4
3214,Zoe Gomez (Elite Jewels Daily Wage),120,Wage,-256.0,120813.4
3215,Tommy Brooks (Katalytica Daily Wage),120,Wage,-44.0,120769.4
3216,Christian Hall (KaraKata Holdings Daily Wage),120,Wage,-184.0,120585.4
3217,Merit Johnson (KaraKata Holdings Daily Wage),120,Wage,-224.0,120361.4
3218,Katherine Moss (Elite Jewels Daily Wage),120,Wage,-25.0,120336.4
3219,Lara Norris (Warehouse #1 Daily Wage),120,Wage,-153.9,120182.5
3220,Grover Brown (KaraKata Holdings Daily Wage),120,Wage,-200.0,119982.5
3221,Maria Willis (Katara Jewels Daily Wage),120,Wage,-200.0,119782.5
3222,Lindsey Richardson (Katara Jewels Daily Wage),120,Wage,-200.0,119582.5
3223,Olivia Cox (Katalytica Daily Wage),120,Wage,-432.0,119150.5
3224,Public parking for UMC Desert,120,PublicParking,-67.5,119083.0
3225,1 4th Street Rent,121,Rent,-64.31962,119018.7
3226,Elite Jewels Revenue,120,Revenue,16000.0,135018.7
3227,48 1st Street Rent,121,Rent,-12.32229,135006.4
3228,42 3rd Street Rent,121,Rent,-38.02306,134968.4
3229,59 3rd Street Rent,121,Rent,-75.99196,134892.4
3230,1 5th Street Rent,121,Rent,-52.13275,134840.3
3231,Katalytica Revenue,120,Revenue,750.0,135590.3
3232,7 3rd Avenue Rent,121,Rent,-42.2027,135548.0
3233,Katara Jewels Revenue,120,Revenue,1200.0,136748.0
3234,Marketing campaigns for Elite Jewels,121,Marketing,-500.0,136248.0
3235,Marketing campaigns for Katalytica,121,Marketing,-750.0,135498.0
3236,Marketing campaigns for Katara Jewels,121,Marketing,-100.0,135398.0
3237,Subway Ride,121,SubwayRide,-3.0,135395.0
3238,Subway Ride,121,SubwayRide,-3.0,135392.0
3239,Purchase from NY Distro Inc,121,ItemPurchase,-144.0,135248.0
3240,Purchase from Square Appliances,121,ItemPurchase,-1370.0,133878.0
3241,Subway Ride,121,SubwayRide,-3.0,133875.0
3242,Subway Ride,121,SubwayRide,-3.0,133872.0
3243,Evie Jones (Katalytica Daily Wage),121,Wage,-448.0,133424.0
3244,Lily Barton (Katalytica Daily Wage),121,Wage,-344.0,133080.0
3245,Zoe Gomez (Elite Jewels Daily Wage),121,Wage,-256.0,132824.0
3246,Tommy Brooks (Katalytica Daily Wage),121,Wage,-44.0,132780.0
3247,Christian Hall (KaraKata Holdings Daily Wage),121,Wage,-184.0,132596.0
3248,Merit Johnson (KaraKata Holdings Daily Wage),121,Wage,-224.0,132372.0
3249,Katherine Moss (Elite Jewels Daily Wage),121,Wage,-25.0,132347.0
3250,Lara Norris (Warehouse #1 Daily Wage),121,Wage,-153.9,132193.1
3251,Grover Brown (KaraKata Holdings Daily Wage),121,Wage,-200.0,131993.1
3252,Maria Willis (Katara Jewels Daily Wage),121,Wage,-200.0,131793.1
3253,Lindsey Richardson (Katara Jewels Daily Wage),121,Wage,-200.0,131593.1
3254,Olivia Cox (Katalytica Daily Wage),121,Wage,-432.0,131161.1
3255,1 4th Street Rent,122,Rent,-64.31962,131096.8
3256,Elite Jewels Revenue,121,Revenue,14000.0,145096.8
3257,48 1st Street Rent,122,Rent,-12.32229,145084.5
3258,42 3rd Street Rent,122,Rent,-38.02306,145046.5
3259,59 3rd Street Rent,122,Rent,-75.99196,144970.5
3260,1 5th Street Rent,122,Rent,-52.13275,144918.4
3261,Katalytica Revenue,121,Revenue,750.0,145668.4
3262,7 3rd Avenue Rent,122,Rent,-42.2027,145626.2
3263,Katara Jewels Revenue,121,Revenue,600.0,146226.2
3264,Delivery from United Ocean Import ,122,ImportDelivery,-56341.59,89884.58
3265,Marketing campaigns for Elite Jewels,122,Marketing,-500.0,89384.58
3266,Marketing campaigns for Katalytica,122,Marketing,-750.0,88634.58
3267,Marketing campaigns for Katara Jewels,122,Marketing,-100.0,88534.58
3268,Subway Ride,122,SubwayRide,-3.0,88531.58
3269,Subway Ride,122,SubwayRide,-3.0,88528.58
3270,Evie Jones (Katalytica Daily Wage),122,Wage,-448.0,88080.58
3271,Zoe Gomez (Elite Jewels Daily Wage),122,Wage,-32.0,88048.58
3272,Tommy Brooks (Katalytica Daily Wage),122,Wage,-44.0,88004.58
3273,Christian Hall (KaraKata Holdings Daily Wage),122,Wage,-184.0,87820.58
3274,Merit Johnson (KaraKata Holdings Daily Wage),122,Wage,-224.0,87596.58
3275,Katherine Moss (Elite Jewels Daily Wage),122,Wage,-200.0,87396.58
3276,Lara Norris (Warehouse #1 Daily Wage),122,Wage,-153.9,87242.68
3277,Grover Brown (KaraKata Holdings Daily Wage),122,Wage,-200.0,87042.68
3278,Maria Willis (Katara Jewels Daily Wage),122,Wage,-200.0,86842.68
3279,Lindsey Richardson (Katara Jewels Daily Wage),122,Wage,-200.0,86642.68
3280,Olivia Cox (Katalytica Daily Wage),122,Wage,-432.0,86210.68
3281,Tristan Barker (Katalytica Daily Wage),122,Wage,-536.0,85674.68
3282,1 4th Street Rent,123,Rent,-64.31962,85610.36
3283,Elite Jewels Revenue,122,Revenue,16000.0,101610.4
3284,48 1st Street Rent,123,Rent,-12.32229,101598.0
3285,42 3rd Street Rent,123,Rent,-38.02306,101560.0
3286,59 3rd Street Rent,123,Rent,-75.99196,101484.0
3287,1 5th Street Rent,123,Rent,-52.13275,101431.9
3288,Katalytica Revenue,122,Revenue,1200.0,102631.9
3289,7 3rd Avenue Rent,123,Rent,-42.2027,102589.7
3290,Katara Jewels Revenue,122,Revenue,600.0,103189.7
3291,Marketing campaigns for Elite Jewels,123,Marketing,-500.0,102689.7
3292,Marketing campaigns for Katalytica,123,Marketing,-750.0,101939.7
3293,Marketing campaigns for Katara Jewels,123,Marketing,-100.0,101839.7
3294,Purchase from El Gato Food Market,123,ItemPurchase,-80.0,101759.7
3295,Subway Ride,123,SubwayRide,-3.0,101756.7
3296,Recruitment Campaign,123,RecruitmentCampaign,-1000.0,100756.7
3297,Subway Ride,123,SubwayRide,-3.0,100753.7
3298,Evie Jones (Katalytica Daily Wage),123,Wage,-448.0,100305.7
3299,Zoe Gomez (Elite Jewels Daily Wage),123,Wage,-32.0,100273.7
3300,Tommy Brooks (Katalytica Daily Wage),123,Wage,-44.0,100229.7
3301,Christian Hall (KaraKata Holdings Daily Wage),123,Wage,-184.0,100045.7
3302,Merit Johnson (KaraKata Holdings Daily Wage),123,Wage,-224.0,99821.69
3303,Katherine Moss (Elite Jewels Daily Wage),123,Wage,-200.0,99621.69
3304,Lara Norris (Warehouse #1 Daily Wage),123,Wage,-153.9,99467.79
3305,Grover Brown (KaraKata Holdings Daily Wage),123,Wage,-200.0,99267.79
3306,Maria Willis (Katara Jewels Daily Wage),123,Wage,-200.0,99067.79
3307,Lindsey Richardson (Katara Jewels Daily Wage),123,Wage,-200.0,98867.79
3308,Olivia Cox (Katalytica Daily Wage),123,Wage,-432.0,98435.79
3309,Tristan Barker (Katalytica Daily Wage),123,Wage,-536.0,97899.79
3310,1 4th Street Rent,124,Rent,-64.31962,97835.47
3311,Elite Jewels Revenue,123,Revenue,16000.0,113835.5
3312,48 1st Street Rent,124,Rent,-12.32229,113823.1
3313,42 3rd Street Rent,124,Rent,-38.02306,113785.1
3314,59 3rd Street Rent,124,Rent,-75.99196,113709.1
3315,1 5th Street Rent,124,Rent,-52.13275,113657.0
3316,Katalytica Revenue,123,Revenue,1200.0,114857.0
3317,7 3rd Avenue Rent,124,Rent,-42.2027,114814.8
3318,Katara Jewels Revenue,123,Revenue,600.0,115414.8
3319,Marketing campaigns for Elite Jewels,124,Marketing,-500.0,114914.8
3320,Marketing campaigns for Katalytica,124,Marketing,-750.0,114164.8
3321,Marketing campaigns for Katara Jewels,124,Marketing,-100.0,114064.8
3322,Subway Ride,124,SubwayRide,-3.0,114061.8
3323,Subway Ride,124,SubwayRide,-3.0,114058.8
3324,Subway Ride,124,SubwayRide,-3.0,114055.8
3325,Subway Ride,124,SubwayRide,-3.0,114052.8
3326,Evie Jones (Katalytica Daily Wage),124,Wage,-448.0,113604.8
3327,Lily Barton (Katalytica Daily Wage),124,Wage,-344.0,113260.8
3328,Zoe Gomez (Elite Jewels Daily Wage),124,Wage,-256.0,113004.8
3329,Tommy Brooks (Katalytica Daily Wage),124,Wage,-44.0,112960.8
3330,Christian Hall (KaraKata Holdings Daily Wage),124,Wage,-184.0,112776.8
3331,Merit Johnson (KaraKata Holdings Daily Wage),124,Wage,-224.0,112552.8
3332,Katherine Moss (Elite Jewels Daily Wage),124,Wage,-25.0,112527.8
3333,Lara Norris (Warehouse #1 Daily Wage),124,Wage,-153.9,112373.9
3334,Grover Brown (KaraKata Holdings Daily Wage),124,Wage,-200.0,112173.9
3335,Maria Willis (Katara Jewels Daily Wage),124,Wage,-200.0,111973.9
3336,Lindsey Richardson (Katara Jewels Daily Wage),124,Wage,-200.0,111773.9
3337,Tristan Barker (Katalytica Daily Wage),124,Wage,-402.0,111371.9
3338,1 4th Street Rent,125,Rent,-64.31962,111307.6
3339,Elite Jewels Revenue,124,Revenue,16000.0,127307.6
3340,48 1st Street Rent,125,Rent,-12.32229,127295.3
3341,42 3rd Street Rent,125,Rent,-38.02306,127257.2
3342,59 3rd Street Rent,125,Rent,-75.99196,127181.2
3343,1 5th Street Rent,125,Rent,-52.13275,127129.1
3344,Katalytica Revenue,124,Revenue,2800.0,129929.1
3345,7 3rd Avenue Rent,125,Rent,-42.2027,129886.9
3346,Katara Jewels Revenue,124,Revenue,1200.0,131086.9
3347,Marketing campaigns for Elite Jewels,125,Marketing,-500.0,130586.9
3348,Marketing campaigns for Katalytica,125,Marketing,-750.0,129836.9
3349,Marketing campaigns for Katara Jewels,125,Marketing,-100.0,129736.9
3350,Evie Jones (Katalytica Daily Wage),125,Wage,-448.0,129288.9
3351,Zoe Gomez (Elite Jewels Daily Wage),125,Wage,-64.0,129224.9
3352,Tommy Brooks (Katalytica Daily Wage),125,Wage,-44.0,129180.9
3353,Katherine Moss (Elite Jewels Daily Wage),125,Wage,-50.0,129130.9
3354,Lara Norris (Warehouse #1 Daily Wage),125,Wage,-153.9,128977.0
3355,Maria Willis (Katara Jewels Daily Wage),125,Wage,-200.0,128777.0
3356,Lindsey Richardson (Katara Jewels Daily Wage),125,Wage,-200.0,128577.0
3357,Olivia Cox (Katalytica Daily Wage),125,Wage,-432.0,128145.0
3358,Maya Turner (Elite Jewels Daily Wage),125,Wage,-192.0,127953.0
3359,Raymond Watson (Elite Jewels Daily Wage),125,Wage,-232.0,127721.0
3360,1 4th Street Rent,126,Rent,-64.31962,127656.7
3361,Elite Jewels Revenue,125,Revenue,16000.0,143656.7
3362,48 1st Street Rent,126,Rent,-12.32229,143644.4
3363,42 3rd Street Rent,126,Rent,-38.02306,143606.3
3364,59 3rd Street Rent,126,Rent,-75.99196,143530.4
3365,1 5th Street Rent,126,Rent,-52.13275,143478.2
3366,Katalytica Revenue,125,Revenue,2400.0,145878.2
3367,7 3rd Avenue Rent,126,Rent,-42.2027,145836.0
3368,Katara Jewels Revenue,125,Revenue,1200.0,147036.0
3369,Delivery from United Ocean Import ,126,ImportDelivery,-62427.54,84608.49
3370,Marketing campaigns for Elite Jewels,126,Marketing,-500.0,84108.49
3371,Marketing campaigns for Katalytica,126,Marketing,-750.0,83358.49
3372,Marketing campaigns for Katara Jewels,126,Marketing,-100.0,83258.49
3373,Lily Barton (Katalytica Daily Wage),126,Wage,-258.0,83000.49
3374,Tommy Brooks (Katalytica Daily Wage),126,Wage,-44.0,82956.49
3375,Lara Norris (Warehouse #1 Daily Wage),126,Wage,-153.9,82802.59
3376,Olivia Cox (Katalytica Daily Wage),126,Wage,-432.0,82370.59
3377,Tristan Barker (Katalytica Daily Wage),126,Wage,-536.0,81834.59
3378,Maya Turner (Elite Jewels Daily Wage),126,Wage,-128.0,81706.59
3379,Raymond Watson (Elite Jewels Daily Wage),126,Wage,-174.0,81532.59
3380,1 4th Street Rent,127,Rent,-64.31962,81468.27
3381,Elite Jewels Revenue,126,Revenue,10000.0,91468.27
3382,48 1st Street Rent,127,Rent,-12.32229,91455.95
3383,42 3rd Street Rent,127,Rent,-38.02306,91417.93
3384,59 3rd Street Rent,127,Rent,-75.99196,91341.94
3385,1 5th Street Rent,127,Rent,-52.13275,91289.8
3386,Katalytica Revenue,126,Revenue,2400.0,93689.8
3387,7 3rd Avenue Rent,127,Rent,-42.2027,93647.6
3388,Marketing campaigns for Elite Jewels,127,Marketing,-500.0,93147.6
3389,Marketing campaigns for Katalytica,127,Marketing,-750.0,92397.6
3390,Marketing campaigns for Katara Jewels,127,Marketing,-100.0,92297.6
3391,Bank negative interest rate,127,BankNegativeInterestRate,-10152.74,82144.87
3392,Subway Ride,127,SubwayRide,-3.0,82141.87
3393,Tax Payment,127,TaxPayment,-27188.99,54952.88
3394,Subway Ride,127,SubwayRide,-3.0,54949.88
3395,HG China Bonds investment,127,Investment,-10000.0,44949.88
3396,Subway Ride,127,SubwayRide,-3.0,44946.88
3397,Evie Jones (Katalytica Daily Wage),127,Wage,-448.0,44498.88
3398,Lily Barton (Katalytica Daily Wage),127,Wage,-344.0,44154.88
3399,Zoe Gomez (Elite Jewels Daily Wage),127,Wage,-256.0,43898.88
3400,Tommy Brooks (Katalytica Daily Wage),127,Wage,-44.0,43854.88
3401,Christian Hall (KaraKata Holdings Daily Wage),127,Wage,-184.0,43670.88
3402,Merit Johnson (KaraKata Holdings Daily Wage),127,Wage,-224.0,43446.88
3403,Katherine Moss (Elite Jewels Daily Wage),127,Wage,-100.0,43346.88
3404,Lara Norris (Warehouse #1 Daily Wage),127,Wage,-153.9,43192.98
3405,Grover Brown (KaraKata Holdings Daily Wage),127,Wage,-200.0,42992.98
3406,Maria Willis (Katara Jewels Daily Wage),127,Wage,-200.0,42792.98
3407,Lindsey Richardson (Katara Jewels Daily Wage),127,Wage,-200.0,42592.98
3408,Olivia Cox (Katalytica Daily Wage),127,Wage,-432.0,42160.98
3409,Maya Turner (Elite Jewels Daily Wage),127,Wage,-160.0,42000.98
3410,1 4th Street Rent,128,Rent,-64.31962,41936.66
3411,Elite Jewels Revenue,127,Revenue,14000.0,55936.66
3412,48 1st Street Rent,128,Rent,-12.32229,55924.33
3413,42 3rd Street Rent,128,Rent,-38.02306,55886.31
3414,59 3rd Street Rent,128,Rent,-75.99196,55810.32
3415,1 5th Street Rent,128,Rent,-52.13275,55758.18
3416,Katalytica Revenue,127,Revenue,1200.0,56958.18
3417,7 3rd Avenue Rent,128,Rent,-42.2027,56915.98
3418,Katara Jewels Revenue,127,Revenue,1200.0,58115.98
3419,Marketing campaigns for Elite Jewels,128,Marketing,-500.0,57615.98
3420,Marketing campaigns for Katalytica,128,Marketing,-750.0,56865.98
3421,Marketing campaigns for Katara Jewels,128,Marketing,-100.0,56765.98
3422,Zoe Gomez (Elite Jewels Daily Wage),99,Wage,-256.0,17457.24
3423,Tommy Brooks (Katalytica Daily Wage),99,Wage,-88.0,17369.24
3424,Christian Hall (KaraKata Holdings Daily Wage),99,Wage,-184.0,17185.24
3425,Merit Johnson (KaraKata Holdings Daily Wage),99,Wage,-224.0,16961.24
3426,Katherine Moss (Elite Jewels Daily Wage),99,Wage,-25.0,16936.24
3427,Lara Norris (Warehouse #1 Daily Wage),99,Wage,-153.9,16782.34
3428,Grover Brown (KaraKata Holdings Daily Wage),99,Wage,-200.0,16582.34
3429,Maria Willis (Katara Jewels Daily Wage),99,Wage,-200.0,16382.34
3430,Lindsey Richardson (Katara Jewels Daily Wage),99,Wage,-200.0,16182.34
3431,37 3rd Street Rent,100,Rent,-9.478683,16172.87
3432,Katalytica Revenue,99,Revenue,1200.0,17372.87
3433,1 4th Street Rent,100,Rent,-64.31962,17308.54
3434,Elite Jewels Revenue,99,Revenue,16000.0,33308.55
3435,48 1st Street Rent,100,Rent,-12.32229,33296.22
3436,42 3rd Street Rent,100,Rent,-38.02306,33258.2
3437,59 3rd Street Rent,100,Rent,-75.99196,33182.21
3438,7 3rd Avenue Rent,100,Rent,-42.2027,33140.0
3439,Katara Jewels Revenue,99,Revenue,2200.0,35340.0
3440,Marketing campaigns for Elite Jewels,100,Marketing,-500.0,34840.0
3441,Purchase from IKA BOHAG,100,ItemPurchase,-2200.0,32640.0
3442,Evie Jones (Katalytica Daily Wage),100,Wage,-560.0,32080.0
3443,Zoe Gomez (Elite Jewels Daily Wage),100,Wage,-256.0,31824.0
3444,Tommy Brooks (Katalytica Daily Wage),100,Wage,-88.0,31736.0
3445,Christian Hall (KaraKata Holdings Daily Wage),100,Wage,-184.0,31552.0
3446,Merit Johnson (KaraKata Holdings Daily Wage),100,Wage,-224.0,31328.0
3447,Katherine Moss (Elite Jewels Daily Wage),100,Wage,-25.0,31303.0
3448,Lara Norris (Warehouse #1 Daily Wage),100,Wage,-153.9,31149.1
3449,Grover Brown (KaraKata Holdings Daily Wage),100,Wage,-200.0,30949.1
3450,Maria Willis (Katara Jewels Daily Wage),100,Wage,-200.0,30749.1
3451,Lindsey Richardson (Katara Jewels Daily Wage),100,Wage,-200.0,30549.1
3452,37 3rd Street Rent,101,Rent,-9.478683,30539.63
3453,Katalytica Revenue,100,Revenue,960.0,31499.63
3454,1 4th Street Rent,101,Rent,-64.31962,31435.3
3455,Elite Jewels Revenue,100,Revenue,16000.0,47435.3
3456,48 1st Street Rent,101,Rent,-12.32229,47422.98
3457,42 3rd Street Rent,101,Rent,-38.02306,47384.96
3458,59 3rd Street Rent,101,Rent,-75.99196,47308.96
3459,7 3rd Avenue Rent,101,Rent,-42.2027,47266.76
3460,Katara Jewels Revenue,100,Revenue,2200.0,49466.76
3461,Marketing campaigns for Elite Jewels,101,Marketing,-500.0,48966.76
3462,Recruitment Campaign,101,RecruitmentCampaign,-1500.0,47466.76
3463,Purchase from IKA BOHAG,101,ItemPurchase,-2190.0,45276.76
3464,Evie Jones (Katalytica Daily Wage),101,Wage,-560.0,44716.76
3465,Zoe Gomez (Elite Jewels Daily Wage),101,Wage,-32.0,44684.76
3466,Tommy Brooks (Katalytica Daily Wage),101,Wage,-88.0,44596.76
3467,Christian Hall (KaraKata Holdings Daily Wage),101,Wage,-184.0,44412.76
3468,Merit Johnson (KaraKata Holdings Daily Wage),101,Wage,-224.0,44188.76
3469,Katherine Moss (Elite Jewels Daily Wage),101,Wage,-200.0,43988.76
3470,Lara Norris (Warehouse #1 Daily Wage),101,Wage,-153.9,43834.86
3471,Grover Brown (KaraKata Holdings Daily Wage),101,Wage,-200.0,43634.86
3472,Maria Willis (Katara Jewels Daily Wage),101,Wage,-200.0,43434.86
3473,Lindsey Richardson (Katara Jewels Daily Wage),101,Wage,-200.0,43234.86
3474,37 3rd Street Rent,102,Rent,-9.478683,43225.38
3475,Katalytica Revenue,101,Revenue,960.0,44185.38
3476,1 4th Street Rent,102,Rent,-64.31962,44121.06
3477,Elite Jewels Revenue,101,Revenue,16000.0,60121.06
3478,48 1st Street Rent,102,Rent,-12.32229,60108.74
3479,42 3rd Street Rent,102,Rent,-38.02306,60070.71
3480,59 3rd Street Rent,102,Rent,-75.99196,59994.72
3481,7 3rd Avenue Rent,102,Rent,-42.2027,59952.52
3482,Katara Jewels Revenue,101,Revenue,2200.0,62152.52
3483,Delivery from United Ocean Import ,102,ImportDelivery,-37456.52,24696.0
3484,Marketing campaigns for Elite Jewels,102,Marketing,-500.0,24196.0
3485,Evie Jones (Katalytica Daily Wage),102,Wage,-280.0,23916.0
3486,Lily Barton (Katalytica Daily Wage),102,Wage,-215.0,23701.0
3487,Zoe Gomez (Elite Jewels Daily Wage),102,Wage,-32.0,23669.0
3488,Tommy Brooks (Katalytica Daily Wage),102,Wage,-66.0,23603.0
3489,Christian Hall (KaraKata Holdings Daily Wage),102,Wage,-184.0,23419.0
3490,Merit Johnson (KaraKata Holdings Daily Wage),102,Wage,-224.0,23195.0
3491,Katherine Moss (Elite Jewels Daily Wage),102,Wage,-200.0,22995.0
3492,Lara Norris (Warehouse #1 Daily Wage),102,Wage,-153.9,22841.1
3493,Grover Brown (KaraKata Holdings Daily Wage),102,Wage,-200.0,22641.1
3494,Maria Willis (Katara Jewels Daily Wage),102,Wage,-200.0,22441.1
3495,Lindsey Richardson (Katara Jewels Daily Wage),102,Wage,-200.0,22241.1
3496,Olivia Cox (Katalytica Daily Wage),102,Wage,-162.0,22079.1
3497,Tristan Barker (Katalytica Daily Wage),102,Wage,-134.0,21945.1
3498,Public parking for UMC Desert,102,PublicParking,-7.5,21937.6
3499,37 3rd Street Rent,103,Rent,-9.478683,21928.12
3500,Katalytica Revenue,102,Revenue,960.0,22888.12
3501,1 4th Street Rent,103,Rent,-64.31962,22823.8
3502,Elite Jewels Revenue,102,Revenue,16000.0,38823.8
3503,48 1st Street Rent,103,Rent,-12.32229,38811.47
3504,42 3rd Street Rent,103,Rent,-38.02306,38773.45
